Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"Meanwhile St. Peter and the Lord were waiting, and as he was so long in coming, they set out to meet him.",Contrast,S,NEUTRAL
"When Gambling Hansel came, however, he pretended that the money had fallen into the gutter, and kept raking about in it all the while to find it, but our Lord already knew that he had lost it in play.",Contrast,S,-
"St. Peter again gave him three groschen, and now he did not allow himself to be led away once more, but fetched them the loaf.",Contrast,S,NEUTRAL
"Our Lord then inquired if he had no wine, and he said, Alack, sir, the casks are all empty!",Contrast,S,SADNESS
"But the Lord said he was to go down into the cellar, for the best wine was still there.",Contrast,S,NEUTRAL
"For a long time he would not believe this, but at length he said, Well, I will go down, but I know that there is none there.",Contrast,S,NEUTRAL
"When he turned the tap, however, lo and behold, the best of wine ran out!",Elaboration,N,JOY
"So he took it to them, and the two passed the night there.",Contrast,S,NEUTRAL
Early next day our Lord told Gambling Hansel that he might beg three favours.,Contrast,S,NEUTRAL
"The Lord expected that he would ask to go to Heaven; but Gambling Hansel asked for a pack of cards with which he could win everything, for dice with which he would win everything, and for a tree whereon every kind of fruit would grow, and from which no one who had climbed up, could descend until he bade him do so.",Contrast,S,NEUTRAL
"The Lord gave him all that he had asked, and departed with St. Peter.",Elaboration,N,NEUTRAL
"And now Gambling Hansel at once set about gambling in real earnest, and before long he had gained half the world.",Contrast,S,NEUTRAL
"Upon this St. Peter said to the Lord, Lord, this thing must not go on, he will win, and thou lose, the whole world.",Contrast,S,-
We must send Death to him.,Attribution,S,NEUTRAL
"When Death appeared, Gambling Hansel had just seated himself at the gaming-table, and Death said, Hansel, come out a while.",Elaboration,S,NEUTRAL
"But Gambling Hansel said, Just wait a little until the game is done, and in the meantime get up into that tree out there, and gather a little fruit that we may have something to munch on our way.",Contrast,S,NEUTRAL
"Thereupon Death climbed up, but when he wanted to come down again, he could not, and Gambling Hansel left him up there for seven years, during which time no one died.",Elaboration,S,NEUTRAL
"So St. Peter said to the Lord, Lord, this thing must not go on.",Attribution,S,ANGER
People no longer die; we must go ourselves.,evaluation,S,-
"And they went themselves, and the Lord commanded Hansel to let Death come down.",Attribution,S,NEUTRAL
"So Hansel went at once to Death and said to him, Come down, and Death took him directly and put an end to him.",Elaboration,S,-
"They went away together and came to the next world, and then Gambling Hansel made straight for the door of Heaven, and knocked at it.",Elaboration,S,NEUTRAL
Who is there?,Attribution,S,NEUTRAL
Gambling Hansel.,Attribution,S,NEUTRAL
"Ah, we will have nothing to do with him!",evaluation,S,ANGER
Begone!,Attribution,S,ANGER
"So he went to the door of Purgatory, and knocked once more.",Attribution,S,NEUTRAL
Who is there?,Attribution,S,NEUTRAL
Gambling Hansel.,Attribution,S,NEUTRAL
"Ah, there is quite enough weeping and wailing here without him.",evaluation,S,NEUTRAL
"We do not want to gamble, just go away again.",evaluation,S,-
"Then he went to the door of Hell, and there they let him in.",evaluation,S,NEUTRAL
"There was, however, no one at home but old Lucifer and the crooked devils who had just been doing their evil work in the world.",Elaboration,S,NEUTRAL
And no sooner was Hansel there than he sat down to gamble again.,Contrast,S,NEUTRAL
"Lucifer, however, had nothing to lose, but his mis-shapen devils, and Gambling Hansel won them from him, as with his cards he could not fail to do.",Contrast,S,NEUTRAL
"And now he was off again with his crooked devils, and they went to Hohenfuert and pulled up a hop-pole, and with it went to Heaven and began to thrust the pole against it, and Heaven began to crack.",Contrast,S,-
"So again St. Peter said, Lord, this thing cannot go on, we must let him in, or he will throw us down from Heaven.",evaluation,S,-
And they let him in.,Attribution,S,NEUTRAL
"But Gambling Hansel instantly began to play again, and there was such a noise and confusion that there was no hearing what they themselves were saying.",Contrast,S,NEUTRAL
"Therefore St. Peter once more said, Lord, this cannot go on, we must throw him down, or he will make all Heaven rebellious.",evaluation,S,-
"So they went to him at once, and threw him down, and his soul broke into fragments, and went into the gambling vagabonds who are living this very day.",Elaboration,N,NEUTRAL
Sentences of 87_the_poor_man_and_the_rich_man,RST Relation 87_the_poor_man_and_the_rich_man,Nuclearity,One Label
"In olden times, when the Lord himself still used to walk about on this earth amongst men, it once happened that he was tired and overtaken by the darkness before he could reach an inn.",Contrast,N,-
"Now there stood on the road before him two houses facing each other; the one large and beautiful, the other small and poor.",Contrast,N,NEUTRAL
"The large one belonged to a rich man, and the small one to a poor man.",Elaboration,N,NEUTRAL
"Then the Lord thought, I shall be no burden to the rich man, I will stay the night with him.",Contrast,S,NEUTRAL
"When the rich man heard some one knocking at his door, he opened the window and asked the stranger what he wanted.",Elaboration,N,NEUTRAL
"The Lord answered, I only ask for a nights lodging.",Elaboration,S,NEUTRAL
"Then the rich man looked at the traveler from head to foot, and as the Lord was wearing common clothes, and did not look like one who had much money in his pocket, he shook his head, and said, No, I cannot take you in, my rooms are full of herbs and seeds; and if I were to lodge everyone who knocked at my door, I might very soon go begging myself.",Contrast,S,ANGER
"Go somewhere else for a lodging, and with this he shut down the window and left the Lord standing there.",Contrast,S,NEUTRAL
"So the Lord turned his back on the rich man, and went across to the small house and knocked.",Contrast,S,NEUTRAL
He had hardly done so when the poor man opened the little door and bade the traveler come in.,Elaboration,S,NEUTRAL
"Pass the night with me, it is already dark, said he; you cannot go any further to-night.",evaluation,S,JOY
"This pleased the Lord, and he went in.",Elaboration,N,JOY
"The poor mans wife shook hands with him, and welcomed him, and said he was to make himself at home and put up with what they had got; they had not much to offer him, but what they had they would give him with all their hearts.",Contrast,S,JOY
"Then she put the potatoes on the fire, and while they were boiling, she milked the goat, that they might have a little milk with them.",Contrast,N,NEUTRAL
"When the cloth was laid, the Lord sat down with the man and his wife, and he enjoyed their coarse food, for there were happy faces at the table.",Elaboration,S,JOY
"When they had had supper and it was bed-time, the woman called her husband apart and said, Hark you, dear husband, let us make up a bed of straw for ourselves to-night, and then the poor traveler can sleep in our bed and have a good rest, for he has been walking the whole day through, and that makes one weary.",Contrast,S,NEUTRAL
"With all my heart, he answered, I will go and offer it to him; and he went to the stranger and invited him, if he had no objection, to sleep in their bed and rest his limbs properly.",Contrast,S,-
"But the Lord was unwilling to take their bed from the two old folks; however, they would not be satisfied, until at length he did it and lay down in their bed, while they themselves lay on some straw on the ground.",Contrast,S,NEUTRAL
"Next morning they got up before daybreak, and made as good a breakfast as they could for the guest.",Contrast,S,NEUTRAL
"When the sun shone in through the little window, and the Lord had got up, he again ate with them, and then prepared to set out on his journey.",Contrast,S,NEUTRAL
"But as he was standing at the door he turned round and said, As you are so kind and good, you may wish three things for yourselves and I will grant them.",Contrast,S,NEUTRAL
"Then the man said, What else should I wish for but eternal happiness, and that we two, as long as we live, may be healthy and have every day our daily bread; for the third wish, I do not know what to have.",Contrast,S,JOY
